start	end	text
240	14080	Ihr befindet euch auf der Brücke der Turbot und seid gerade von Lothal abgereist, aber jetzt schon mehrere Tage unterwegs.
15080	24640	So lange wie man eben unterwegs ist, wenn man so weit draußen im Outer Rim ist und etwas tiefer in Zentrum der Galaxis reisen möchte.
30240	37760	für die abstände die man zurücklegen muss und für die zeit die die reisen dauern und vor allem auch
37760	44980	für die menge an treibstoff die notwendig ist um das alles hier zurücklegen zu können irgendwann
44980	53640	mal müssen wir auch wieder auftanken aber wir sind jetzt von lothal losgeflogen unser f punkt
53640	60880	zu dem wir müssen, befindet sich einfach weiter im Inneren der Galaxis, sagt Ganten.
61660	63760	Und wir sind noch einige Zeit unterwegs.
64700	72280	Als am dritten Tag plötzlich Alarmsignale losgehen.
72860	80200	Galrixtus sitzt im Cockpit, die anderen haben gerade keine Schicht.
80200	85980	und bei dir beginnen Alarmsignale zu leuchten.
86160	88380	Ich bitte dich um einen Piloting-Wurf.
90730	95850	Und dann einen... genau... und...
95850	98310	Aha, sehr gut, dann brauchst du keinen anderen Wurf.
98910	103610	Es ist so, dass deine... also das passiert eigentlich nie.
104330	106550	Es gibt Störungen auf der Hyperraumroute.
107210	109770	Und zwar sind die Hyperraumrouten vor allem,
109770	123270	Wenn sie durch große Gaswolken oder Plasmawolken fliegen, sind sie so angelegt, dass sie natürlich in störungsfreien Gebieten durchkurven.
124350	130490	Und hier, ihr befindet euch in einem der Extricariumwolken bei IEGO.
131590	135490	Und eigentlich sollte hier gar nichts sein, da fliegt man einfach nur durch.
135490	158870	Aber hier ist etwas und zwar ist die Hyperraumroute gestört. Der nächste Beacon ist nicht ansteuerbar und du kannst nichts anderes tun. Du weißt es einfach, du wirst aus dem Hyperraum raus müssen, denn ansonsten zerschellt ihr irgendwo vielleicht gegen einen Stern oder ohne Beacon fliegt ihr einfach in irgendeine Richtung davon.
158870	210480	Das heißt, gleich wird es euch einfach automatisch rausnehmen. Du kannst etwas früher rausgehen durch dein Piloting-Wurf. Seht ihr das Bild? Da hat es nicht funktioniert. Jetzt aber, oder?
213720	215060	Also ihr sitzt im Cockpit.
215160	219060	Es ist ja eines von diesen koreanischen Untertassen,
219060	221960	in dem ihr fliegt mit dem seitlich angebrachten Cockpit.
223220	231660	Und der Hyperraum ist eigentlich dieses seltsame Lichtspektrum,
232180	235100	diese Art Tunnel, dieser Tunnelblick, den ihr hier habt.
236240	239380	Und zack bist du draußen.
239380	244600	und du befindest dich sofort in einer unkontrollierbaren Situation.
254000	259780	Also im Weltall ist eigentlich ja alles still und du hörst nichts.
261520	263740	Aber in Star Wars hört man was.
265580	268080	Und deshalb hört er das jetzt auch.
269100	271740	So, ich muss nur ganz kurz finden.
271900	273900	Jetzt hat es mir das irgendwie wieder weggekommen.
274600	280010	Eine Sekunde, sorry.
281450	311210	Hier. Ihr befindet euch mitten in einer Schlacht. Das ist der Grund dafür, dass ihr aus der Hyperraumroute rausgenommen seid. Wahrscheinlich hat man einfach den Beacon zerstört oder jemand hat das bewusst gemacht.
311210	335390	Und zwar, ihr seid unübersichtlich, es sind Schiffe um euch herum. Ein TIE Fighter fliegt einfach direkt vor deinem Cockpit durch. Du siehst einen TIE Fighter. Dahinter die typische pfeilförmige Struktur. Dahinten in diesem roten, neblichen Gebiet eines Sternenzerstörers.
335390	362830	Und ein anderes Schiff, relativ nah bei dir, direkt vor dir eigentlich, ein riesiges Drum, ein langes, garrenartiges Raumschiff und es herrscht eine große Schlacht. Das ist es. Aber du bist jetzt nicht direkt drin, sondern noch ein paar tausend Kilometer davon entfernt und insofern kannst du unter Umständen noch reagieren.
362830	367300	Was tust du also?
415620	437980	Aber der hat so etwas Ähnliches wie eine Atmosphäre. Und du kriegst die Signale, die sind auch teilweise hier eingespeichert, von verschiedenen Schiffen. Und zwar ist hier der imperiale Sternenzerstörer, der Imperial 1 Klasse Titan unterwegs.
437980	451620	und du hörst alle möglichen Funksignale und die laufen durch von irgendwelchen Warnungen, Angriffen, Attackensequenzen
451620	461700	und dieser imperiale Sternenzerstörer hat wohl seine komplette TIE-Flotte gerade engaged, die kämpfen.
461700	467380	und gleichzeitig das direkt vor euch befindliche Schiff.
468300	471580	Also direkt sieht so aus, als wäre es direkt vor dir,
471820	474180	aber nein, das Schiff ist einfach nur gewaltig.
475140	482460	Dieses Schiff ist in der Datenbank als Obsidian Arrow gekennzeichnet.
482460	485540	Der Obsidian Arrow ist ein Providence Cruiser,
485840	489320	ein alter Separatistenkreuzer,
489320	495520	der dafür eingesetzt wurde, ganze Planeten anzugreifen, um sie zu übernehmen.
496300	500300	Also diese Providence Cruiser haben Battletroids abgesetzt.
508120	511480	Richtig. Und die sind nun dort.
511620	515720	Und jetzt bekommt ihr das erste Signal.
515900	521140	Und zwar der imperiale Sternenzerstörer Titan pingt dich an.
521140	523120	Ping. Ping.
524500	525600	Bitte um Unterstützung.
526480	540960	Es läuft ein imperiales Signal mit einer ISB-Nummer, die du kennst aus deiner Vergangenheit, Galrixdo, läuft hier durch, als wäre das Schiff, die Turbot, Teil des ISB-Netzwerks.
541780	548240	Und der Titan nimmt einfach ganz regulär mit dir Kontakt auf. Was tust du?
548240	584100	Du kennst diese Art der Signatur. Du kennst nicht genau die Nummer, du weißt aber ganz genau, dass diese Kodierung eine USB-Kodierung ist. Du hörst Fußschritte im Hintergrund, aber ihr beide dürft jetzt erstmal was tun. Kellum und Komaru, was tut ihr?
627140	632920	was man einen Flügel nennt, die in verschiedenen Fächerformationen angreifen.
633080	637560	Und zwar greifen die immer so an, dass die TIE-Fighter etwas tiefer fliegen,
637660	644000	die TIE-Bomber dann in Fächerformationen darüber und dann die Interceptors nach vorne ausgreifen.
644000	649420	Das heißt also, es ist dieses typische Angriffsmanöver, welches im Grunde so aussieht wie ein Fächer, der ausfährt.
649420	658320	und in der Mitte fährt der Sternenkreuzer der Imperial-Klasse direkt frontal,
658540	664300	letztendlich in hoher Geschwindigkeit, auf das andere Schiff, die Obsidian Arrow, zu.
666380	673020	Und ja, er kommt im Grunde von schräg rechts über euch, nach und nach auf euch zu
673020	678020	und diese Obsidian Arrow ist aber ja auch Kilometer von euch entfernt und trotzdem so riesig.
678020	698080	Und die Obsidian Arrow lässt an den verschiedenen Hangars jetzt selbst Fighter raus, die anders aussehen. Und zwar haben die eine spezielle Struktur. Ich muss das jetzt leider wieder so umstellen, dass ihr das sehen könnt.
698080	721520	Die sehen im Grunde eher so aus, wie man sich ein Raumschiff vorstellt. Also die haben zwei Flügel vorne, ein Cockpit und unter dem Flügel ihren Antrieb und ihre Laserkanonen. Seht ihr das? Zudem haben die auch ganz unterschiedliche, teilweise hochkant fliegende Bomber oder andere Schiffe, die hier mit dabei sind.
721520	755460	Und jetzt seht ihr auch die ersten... Hallo! Hallo Leo! Schönen Abend! So, während du nach und nach jetzt die Obsidian Arrow siehst, wie sie seitlich zu euch kommt, erkennt ihr eine große goldene stilisierte Sonne auf dieses Schiff gemalt.
755460	760440	Und zwar sieht diese Sonne so aus.
769870	771070	Also sie hat oben...
772330	778170	Später. Später. Später.
778910	781030	Du erkennst, er hat dieses Zeichen.
782550	791790	Black Sun. Irgendwelche Söldner. Irgendwas. Untergrund. Was auch immer. Du weißt es noch nicht so genau.
791790	796490	Galrixto allerdings ganz genau
796490	799230	Black Sun ist eines der Syndikate
799230	806810	und die haben eigentlich gar keine so großen Schiffe
806810	812340	Ja, jetzt Komaru
812340	824980	Ja, ja, ja
824980	826180	Ganten kommt auch
826180	827140	Was ist denn los?
837090	838430	Ich werde antworten
838430	839630	Du fliegst, Komaru
839630	850300	also ihr seht ganz kurz, wie Ganten sich an den Kommunikations
850300	855420	Ganten setzt sich an den Kommunikationsrechner
855420	859520	und tippt, er tippt also irgendwelche Sachen ein
859520	861600	er beachtet euch nicht weiter
861600	866620	ja, ihr könnt euch entscheiden, Ganten ist abgelenkt, was tut ihr?
882230	890370	genau, ja, richtig, die verlassen
890370	898050	gerade den Hangar bei dem Obsidian Arrow von der Black Sun mit den Schiffen. Die Imperialen haben
898050	906530	allerdings ihre Fächerformation schon angefangen und jetzt gerade beginnen die Bomber mit dem Anflug,
906650	911670	sodass also dann die Photonentorpedos abgeworfen werden, um den großen Kreuzer da auszuschalten.
912230	916310	Weil eigentlich kämpfen die großen Schlachtschiffe nicht gegeneinander, sondern das machen die Bomber,
916310	918930	die sich gegenseitig ausschalten.
923560	925580	Das geht jetzt langsam los.
925740	927800	In der nächsten Minute werden die absetzen.
931370	940870	Ja, ein Klasse 1 Schildsystem, ganz schwach.
943110	945990	Der Frachter hat halt Panzerung.
952340	953360	Der Planet ist da.
955910	958330	Jetzt läuft es durch.
958430	960110	Das ist der Planet Iego.
961830	962430	Iego.
962430	984400	Hier steht, tropisch, heiß, basalt und dann fast unbewohnt. Und jetzt bitte ich dich um einen Wurf auf History bzw. auf Investigation, was du möchtest.
984400	1018140	Ah, du weißt was über IEGO. IEGO ist das Planetensystem ohne Sonne. Es gibt nur ganz wenige davon. Die Beleuchtung kommt über dieses verteilte Extricarium-Plasma, welches im ganzen Sonnensystem verteilt ist und dieses rote Leuchten hier darstellt.
1018140	1034900	Es ist teilweise zu solchen kleinen sonnenartigen Mondstrukturen zusammengeballt, aber eigentlich ist es ein großes Feld aus brennendem Plasma, in dem ihr euch jetzt da befindet. Hier muss man wissen, wo man entlangfliegen muss, ansonsten ist man ganz schnell weg mit seinem Schiff.
1034900	1055840	Meistens sind diese riesigen Extricarium-Wolken übersät mit Schiffswracks, mit allen möglichen Dingen und Sachen aus dem, also Asteroiden und so weiter, die sich nach und nach dann ansammeln und in diesem Feld nach und nach sich ansammeln so lange,
1055840	1065340	bis dann in diesem planetaren System diese Konvektion einsetzt und dann die neue Sonne zusammengezogen wird.
1065440	1072580	Das ist also ein Planet, der entweder nach der Explosion der Sonne noch weit genug draußen,
1073140	1078400	jetzt im Plasma-Feld einer explodierten Sonne vorhanden ist,
1078400	1095400	Oder aber es ist in diesem grünen Stadium des Sonnensystems und der Trabant ist noch von einem alten Sonnensystem übrig. Das heißt also, das ist eine wirklich spannende Situation, die man hier vor sich findet, eine sehr interessante.
1095400	1115930	Aber der Planet ist bewohnbar bzw. tatsächlich kann man dort, also es gibt eine Atmosphäre, nur wie du siehst. Du erinnerst dich daran, als du über IEGO nachgelesen hast, schon früher.
1115930	1120590	du weißt, dieser Planet ist mal vorgekommen
1120590	1126570	in diesem Projekt, welches sehr wichtig für dich ist.
1126710	1130070	Das war eine der wichtigen Informationen, die dort gehandelt wurde.
1131610	1139390	Und der Planet Iego, der ist, also zwei Dinge sind wichtig.
1139390	1143470	Also erst mal gab es dort eine Stadt, Cliffholt heißt die.
1143470	1163680	Und diese Stadt Clifford konnte nicht verlassen werden. Von allen, die dort abgestürzt sind, konnte die Stadt nicht verlassen werden, weil ein Separatisten-Lasersystem über den Planeten gelegt war, um die Bewohner darin gefangen zu nehmen.
1163680	1179340	Man weiß nicht genau weshalb, aber die Leute sind dort gefangen genommen worden und konnten dann nicht mehr fort. Also wer auch immer mit seinem Schiff durch die Atmosphäre geflogen ist, dem wurde reingelassen, aber nicht mehr rausgelassen. Und diese ganze Sache wurde während der Klonkriege zerstört.
1179340	1182440	und du weißt nicht mehr genau,
1182560	1185420	was die Hintergründe waren, aber das ist schon sehr, sehr viel
1185420	1188540	Information, die du einfach hast, weil du dich schon
1188540	1190880	damit beschäftigt hast. Und zwar hatte das
1190880	1193480	den Hintergrund, dass eine,
1195000	1197460	es hieß, eine der wichtigen Waffen,
1198340	1200520	die deine Leute, also die
1200520	1203820	Chiss haben wollten, befand sich in diesem
1203820	1206260	System und
1206260	1208500	als dann aber die
1208500	1211400	Republik, die alte Republik
1211400	1213160	dort zuerst hingekommen ist,
1213640	1215380	haben die wohl diese Waffe beschafft.
1216340	1217440	Also das ist also wirklich
1217440	1219400	sehr, sehr interessanter Ort und
1219400	1221500	du kannst dir vorstellen, warum hier gekämpft
1221500	1225320	wird. Ja, jetzt seht ihr
1225320	1227320	Moment, jetzt seht
1227320	1228800	ihr, wie die Bomber ihre
1228800	1231200	Photonentorpedos ausklinken. Das
1231200	1232440	heißt also, ihr seht jetzt
1232440	1235700	tausende Photonentorpedos
