start	end	text
0	439560	So, jetzt machen wir noch die beiden. Der Rest ist gerade irgendwie unten reingepoltert. Oder Colto. Irgendwas. Toll für den Spaß. Ich lege dem hektischen Fremden mal so eine weiche, schwere Pranke auf die Schulter. Mal ruhig, mal ruhig. Das wird auch nicht besser, wenn du durchdrehst.
440380	441300	Wer bist du überhaupt?
448520	450140	Ganten? Wann?
455240	456320	Ah, er wollte euch treffen.
459120	460220	Ist das dein Schiff?
465710	467230	Dann sollten wir schauen, dass wir hier wegkommen.
467550	469590	Ich nehme mal an, ganz kurz, die Durchsage
469590	471390	haben wir nicht gehört. Die Durchsage war nur
471390	472990	am Cockpit hörbar, schätze ich.
473610	477280	Nicht hier im Frakturraum. Bitte?
479120	481620	Eben, genau. Dann sollten wir schauen, dass wir hier wegkommen.
484990	486450	Was? Traktorstrahl?
486510	486850	Von wem?
520640	521340	Ich lege
521340	523700	erstmal dem Fremden
523700	525400	Rat, hieß er wohl,
525960	526700	nochmal
526700	529400	ermutigend meine Pranke
529400	531280	auf die Schulter, gebe so ein
531280	533440	tiefes, schnurrendes Geräusch von mir
533440	537380	und ich hoffe,
537580	538800	dass Ihnen das etwas beruhigt.
538880	540180	Der wirkt mir einfach zu hektisch.
540840	543280	Und dann suche ich mal nach
543280	545060	einem Cockpit, wenn Galeristo
545060	546600	uns gerade angefunkt hat.
582860	590520	Das verdoppelt ja fast deinen Wert.
825080	826900	Genau, jetzt habe ich eine technische Frage.
827520	830320	Ist der Traktorstrahl so eine Säule, in dem er hochschwebt,
830400	833220	wie bei diesen typischen Alien-Entführungen?
833820	837380	Oder ist das sozusagen, du sagst gerade, wie so eine Zange?
837660	838960	Also gibt es da Zwischenraum?
839440	841140	Dann wie schnell bewegt man sich?
841240	844360	Und kann man sich innerhalb von dem Wirkungsbereich noch irgendwie bewegen
844360	847940	und manövrieren, oder ist man komplett in Stasis?
847940	986280	wie sieht es denn technisch aus ich kann ich beides auch gleich gut technologie okay sind wir
986280	1008600	schon komplett oberhalb von diesen ganzen felsen hat die länder zuständig da lix tor manövrieren
1008600	1073940	zwischen diese beiden nadeln und legt uns quer dass wir uns verkeilen der ricks sommer geschütze
1073940	1144930	hat das schiff geschütze jetzt drückt uns rein setzt einen notruf ab sagt unsere systeme sind
1144930	1249680	da legst du hat das schiff ein sonnensegel wenn ja können wir es rauslassen du siehst ja sogar
1249680	1254600	die kanten stören den strahl das heißt wenn wir irgendwas fläschiges zwischen uns und den
1254600	1608910	traktor strahl bekommen kriegst du vielleicht im moment um raus zu schlüpfen jetzt jetzt gut
1608910	1724640	Gut gemacht. Ja, genau. Das ist gut, weil nach Obzug wird das, glaube ich, nicht mehr gefunden.
1769800	1787210	Okay. Also ich gebe mir natürlich auch echt Mühe, wenn ich merke, dass er Schwierigkeiten hat, dass er irgendwie abgelenkt ist.
1787210	1797290	Da muss ich umso aufmerksamer gucken. Deswegen erst mal so, wie es sich gehört. Und dann ordentlich schauen.
1797290	1957520	So. Toll. Also neun. Ah, pass auf. Pass auf. Fliegt zurück Richtung Turbot. Da geht es tief runter. Richtig scheiß tief. Und wir sind klein. Vielleicht passen wir sogar unter das Schiff, wenn die Spalte da noch weit genug ist. Das geht ja noch.
2078650	2080410	Ja, aber trotzdem das Beste daraus gemacht.
2080550	2082270	Gutes Manöver. Jetzt sind wir an
2082270	2083210	der Turbot.
2084310	2085550	Da sind wir nämlich vorhin
2085550	2088250	leider nicht ganz rangekommen. Erstens
2088250	2090110	mal habt ihr uns zurückgerufen und
2090110	2091910	zweitens hier unten
2091910	2094410	die Atmosphäre lässt sich kaum atmen.
2095270	2096470	Kohlendioxid, Kohlenmonoxid
2096470	2098350	gemischt, da muss man mit Anzug
2098350	2110040	raus. Callum, das war die
2110040	2111740	Titanen, sie wollten uns hochziehen.
2115020	2129160	Wegen dir? Oder
2129160	2131120	es hat mit der Brill zu tun. Reden wir doch
2131120	2132280	mal mit unserem Gastgeber.
2132640	2500640	Ich glaube, der ist noch in Tracht. Ich habe im Chat gleich mal ein Bild reingepackt. Komaro ist ein Torgorian. Ah, was? Galrix, du siehst so aus. Ja, ich bin für gerade gewundert.
2500640	2711190	natürlich ich bin für alles am besten geeignet ich werde jetzt erst mal unsere gastgeber hier
2711190	2716650	zur hand gehen ich sehe schon er braucht einen extraktor aber was da zusammen bastelt das wird
2716650	2722350	nicht halten dazu hat sein bein viel zu viel zug ich helfe ihm dabei und danach gehe ich rüber weil
2722350	2728410	ich wahrscheinlich nicht in die schlucht stürzen werde so wie ihr anderen und dann mal sehen was ich
2728410	2733950	an der thörpert nützliches holen kann aber vielleicht kann ich sie auch flicken zumindest die außenbeschädigung
2733950	2740450	sollte ich hinkriegen und dann schauen wir mal ob die systeme überhaupt beschädigt sind also
2740450	2758070	das nicht die arbeit macht kumaro tapst es auf die schulter genau so habe ich es gemeint entspann dich
2758070	2766920	ruhe dich aus ich kümmere mich darum allerdings gucke ich so rum ich brauche den anzug kellum
2766920	2768540	Wo hast du den Anzug hingeschmissen?
2779500	2780280	So, hopp raus.
2786570	2787650	Wenigstens mal die eine.
3062430	3063670	Nee, es gibt so Kits.
3064110	3065750	Also du bräuchtest jetzt zum Beispiel
3065750	3067490	so ein Electronics-Kit.
3071020	3175680	Ja, Moment.
3175840	3177640	Ich stelle ihm was zur Verfügung, weil das
3177640	3178980	macht es ihm dann vielleicht leichter.
3179600	3181760	Weil ich bin ja ein großer Bastler.
3181940	3184380	Also gerade so mechanische Improvisationen,
3184400	3185780	das ist genau meine Stärke.
3186300	3187780	Und ich werde die Plastilstange, die er
3187780	3189600	vorher genommen hat, die werde ich nehmen, halbieren.
3189860	3191580	Mache jeweils auf einem Ende
3191580	3199960	so eine zähförmige halbe Schelle, so eine Haltestelle, die man im Frachtraum ja findet, wo man so Zeugs befestigen kann, werde ich da drehbar annieten.
3200440	3206080	Dann kann, damit man sozusagen ein Ende oben in der Leiste, das andere unten über den Fußriss drücken kann.
3206800	3213200	Und dann an den mittleren Bereichen werde ich ein langes Schraubgewinde bzw. dann passende Schraubhülse machen.
3213200	3221360	dann kann das ranbringen ansetzen und dann so lange schrauben bis genügend zug auf dem bein
3221360	3326570	ist dass die fraktur sozusagen entspannt eingerichtet werden kann also suchen wird
3326570	3337370	sobald ich das ding gemacht habe werde ich mich in den anzug da rein pellen war es der eng und
3337370	3339490	dann schauen, dass ich zu Turbot rübergehe
3339490	3341450	und dort primär mal
3341450	3343750	nach medizinischem Material
3343750	3346130	und dann auch nach Reparaturmaterial
3346130	3347370	ausschaue halt
3347370	3349250	und das so schnell wie möglich rüberbringe.
3349830	3351430	Irgendwelche Reparaturen dort drüben,
3351510	3353490	das mache ich dann als letztes, aber jetzt schaue ich erst mal,
3353590	3353930	dass ich
3353930	3357670	alles rüberbringe, was irgendwie für die Versorgung
3357670	3359250	der Verletzten beziehungsweise
3359250	3361730	der Beschädigten noch notwendig ist.
3362230	3375990	Aber die kann man wahrscheinlich
3375990	3377270	nicht transportieren und
3377270	3380310	ob man die Verletzten da jetzt irgendwie da durchbuxiert.
3401550	3405590	Ja, also deswegen, wenn wir ein Diagnosegerät haben,
3405670	3407530	das transportabel ist, bringen wir es rüber,
3407710	3408930	aber die Medbay selber.
3409850	3412690	Also wenn es da so ein Diagnose-Sarg gibt,
3412850	3413890	das geht natürlich nicht.
3421680	3440860	Ja, super.
3448150	3448990	Nicht schlecht.
3482040	3484120	Also, wie gesagt, Anzug an,
3484360	3485660	weil mittlerweile weiß ich ja,
3485740	3488440	dass die Luft recht unangenehm ist.
3488980	3489800	Und dann werde ich schauen,
3489800	3494480	dass ich hier rauskommen ich hoffe wir haben nicht so geparkt dass wir direkt auf der ausstiegsflug
3494480	3511760	gesitzen und okay das heißt dann werde ich da ganz normal unten raus und ich weiß nicht wenn
3511760	3521120	keller mitkommen will aber ja eben genau als ich glaube das mache ich lieber leiden das ist
3521120	3527440	wahrscheinlich schneller und werden zur der bot hochklettern schauen ob man dort irgendwie noch
3527440	3528600	sinnvoll rein kann.
3597150	3598830	Das ist ein scharfkantiger Regolith, ja.
3725580	3726600	Düster und still
3726600	3727180	hier, ja.
3765120	3766720	Also entweder die Luke
3766720	3768780	oder der Port,
3768900	3769540	wo uns
3769540	3772740	Port angesetzt war.
3773540	3774700	Das wäre auch eine Möglichkeit.
3775020	3776680	Also da gibt es Löcher, wo ich rein könnte.
3798640	3800500	Okay, das mache ich mal als erstes.
3800500	3801240	Kletter da.
3802340	3804240	Also rein und mach dann
3804240	3806400	manuell erstmal die Schleuse zu.
3808560	3810480	Wahrscheinlich wird es in dem Bereich jetzt sowieso
3810480	3812400	keine Atmosphäre haben, aber
3812400	3814480	trotzdem, dann ist es mal zu.
3814880	3816780	Weil die Luft
3816780	3818760	des Körpers ist eonsträchtig,
3818840	3820820	das muss nicht unbedingt überall ins Schiff rein.
3836360	3837080	Ja, hallo,
3837160	3841220	ausgeschlafen.
3843560	3844720	Ich gehe mal zum,
3844900	3847340	ja, ich gehe mal zum Cockpit.
3847640	3849020	Wahrscheinlich muss ich da klettern, die
3849020	3851300	ganzen Ringe sind ja jetzt Schächte.
3882070	3882690	Eben, genau.
3883510	3890740	Das ist natürlich
3890740	3891800	hervorragend, genau.
3893380	3894660	Also ich werde auf
3894660	3896860	jeden Fall als erstes mal ins
3896860	3898860	Cockpit gehen, schauen, ob ich
3898860	3900840	eine Schadensanalyse
3901560	3902740	schon mal starten kann
3902740	3922460	und gucken, welches...
3922460	3924400	Ja, Kopfwunden, Bluten werden
3924400	3926180	schön und wenn jemand so viel Kopf ist wie der
3926180	3927200	Ganten, dann erst recht.
4014640	4016600	Okay, das Schadenslog werde ich über
4016600	4018740	Kurzstreckenfunk direkt an Galrex
4018740	4019840	zu schicken.
4020720	4022880	Galrex, du gehst das mal durch. Du kannst uns
4022880	4024800	einen Arbeitsplan aufstellen, was wir
4024800	4026300	in welche Reihen machen.
4041170	4041730	Sehr gut.
4042570	4044090	Besser als langweilig, weißt du.
4075360	4077180	Genau, und das ist auch super, weil
4077180	4079040	die packe ich zum Beispiel gleich mal ein.
4079180	4080680	Die kommen gleich in die erste Lieferung.
4081400	4082020	Sicher, sicher.
4105810	4107990	Die vordere ist noch da. Wir sind, glaube ich, in die hintere
4107990	4109310	gegangen, wenn ich mich richtig erinnere.
4131270	4132330	Genau, zwei ist noch da.
4134550	4134910	Genau.
4135050	4298060	Wir sind ja hier aus dem Hyperraum rausgefallen. Wir wissen ja auch gar nicht, was da die Ursache ist und ob das immer noch ist. Zumindest hier in der näheren Umgebung können wir eventuell sowieso gar nicht in den Hyperraum treten. Also mit einem beschnedigten Schiff blind in den Hyperraum fliegen.
4477850	4479170	damit ich nicht zu schnell besorgen kann.
4479350	4480850	Also müssen wir uns überraschen lassen.
4536190	5040040	Ganz am Rand.
5373490	5374310	Geht super.
6383510	6385170	Also mein Plan wäre,
6387820	6390660	nachdem ich die notwendigen Sachen erstmal rübergebracht habe
6390660	6398140	und Galrixto einen taktisch klugen Reparaturplan entwickelt hat,
6399040	6400980	bringe ich entweder die Sachen,
6400980	6407950	die dann am anderen schiff repariert werden sollen rüber und gerade so mechanisch und auch struktur
6407950	6414370	reparaturen als wenn irgendwo zum beispiel risse in der hülle sind oder sonstige teile kaputt sind
6414370	6421610	das mechanische zeugs das kann ich super reparieren die feinere technologie das ist jetzt nicht so
6421610	6889870	mein riesen ding aber ansonsten kann ich das die gefunkt haben gut die glutwolke ist halt wie es ist
6889870	7535710	immer gleich erstmal reparieren so weit es geht besprecht es über funk oder wenn ich gerade mal da
7535710	7548800	besprecht ist naja weil ich meist seid ihr auf der tür war deswegen fragt bloß nicht dass okay ja
